symbol,source,voting_hhi,voting_gini,voting_top1_pct,voting_top5_pct,voting_top10_pct,n_unique_voters,n_sampled_top100
UNI,snapshot,0.06774,0.8649,11.96,44.18,72.66,983,100
COMP,snapshot,0.053111,0.7771,15.75,37.87,55.91,114,100
LDO,snapshot,0.087999,0.8837,17.86,57.13,79.91,262,100
DIMO,snapshot,0.227999,0.5945,29.5,99.36,100.0,10,10
WXM,snapshot,0.486129,0.9028,69.15,85.14,89.72,172,100
ARB,snapshot,0.052274,0.8068,11.47,39.25,63.36,5241,100
AAVE,tally,0.075545,0.7238,21.91,49.61,65.44,100,100
COMP,tally,0.038656,0.6388,11.8,32.22,44.73,100,100
UNI,tally,0.027137,0.5816,6.8,25.96,43.44,100,100
ARB,tally,0.0355,0.6945,10.4,29.01,46.62,100,100
OP,tally,0.03297,0.5962,10.03,32.75,45.29,100,100
