rank,effective_voter,is_delegate,display,pooled_conviction_weighted_dot,self_attributed_pooled_dot,in_top100
1,13EyMuuDHwtq5RD6w3psCJ9WvJFZzDDion6Fd2FVAqxz1g7K,1,ChaosDAO OpenGov,304017927.926611,55440.000000,1
2,11Q7ismkHUbbUexpQc4DgTvedfsh8jKMDV7jZZoQwv57NLS,0,,102000000.000000,102000000.000000,1
3,13du3Rt2CAV9L1v1QXTeYosuKaiBSYiPWpa2B4nxzfSdEAF1,1,REEEEEEEEEE DAO,101385626.400000,126.400000,1
4,1tZzPmcq8Auisttygmg9g6tPMtrh9i3b22D3tKXvde7ibRB,0,,100745520.000000,100745520.000000,1
5,16htn59rxuhMH5VQLYTuE7wpnU91Y3McTLaM7mKPpSZZbxaS,0,,60000000.000000,60000000.000000,1
6,146NJqYe7w9ug2UDwtLEBQgGbbTBVpyMHyJPB9tJFXgHCJV3,0,,58800000.000000,58800000.000000,1
7,15EVjoms1KvEAvZaaNYYvnWHmc3Xg1Du3ECuARHyXdPyh1bs,0,,46002481.600000,81.600000,1
8,16m5p2WXqhRtYZFxzR4VUCBu9h9VDgg8AP1DzqUfduT4pdjD,1,Trustless Core - Cohort 5,39000019.000000,19.000000,1
9,1313ciB4VzPeH3n1QKJym1brBmzRdfHBEctWipgH4uGsyF6n,1,,36500801.800000,1.800000,1
10,16Gpd7FDEMR6STGyzTqKie4Xd3AXWNCjr6K8W8kSaG1r4VTQ,1,,33396873.300000,57.300000,1
11,11fx8xKPNd4zVSBxkpN8qhhaGEmNJvPgKqwhDATZQXs7dkM,1,,28162675.000000,19.000000,1
12,14ZaBmSkr6JWf4fUDHbApqHBvbeeAEBSAARxgzXHcSruLELJ,0,,27000016.900000,16.900000,1
13,14zPdpZPzsB25DUHrmBxxZtNPoH3D6Cn9y5x6W4i1W342eer,1,,20341125.960544,4.000000,1
14,15ubZj6T7NUYyQw6j4XBkEMJ2vew5w9kqKEcN1QG7Z1weKDV,1,,4542776.800000,17.800000,1
15,12WLDL2AXoH3MHr1xj8K4m9rCcRKSWKTUz8A4mX3ah5khJBn,0,,4500000.000000,37500000.000000,1
16,13SkL2uACPqBzpKBh3d2n5msYNFB2QapA5vEDeKeLjG2LS3Y,0,,4500000.000000,66500000.000000,1
17,14NSRugu2B7XPwcyPTFsDsBodZb72NgrhMih6ith8dSSGmfc,0,,4500000.000000,4500000.000000,1
18,13Fv7btqKR2NQVZSaJAK1DhxKpxgjzE8twaWnwDk8B1u6voR,0,,4500000.000000,5100000.000000,1
19,14gAowz3LaAqYkRjqUZkjZUxKFUzLtN2oZJSfr3ziHBRhwgc,0,,4500000.000000,6900000.000000,1
20,13yk62yQYctYsRPXDFvC5WzBtanAsHDasenooLAxKvf5bNkK,0,,3940000.000000,29940000.000000,1
21,15j4dg5GzsL1bw2U2AWgeyAk6QTxq43V7ZPbXdAmbVLjvDCK,0,,3600000.000000,30600000.000000,1
22,1GVe7pAK2Pc4TVGuPBYbEU82VmaiQhKjFTzECpX7GGXgzBB,0,,3190000.000000,3190000.000000,1
23,14oJnm4XKoNbzR6B8eqRF8rrt5eHvVgKN79y16L6jQvvp3pt,1,Governoun,2400001.300000,1.300000,1
24,15FZotswrG9r6KQvBPb5Y3ybs6CA5FLbFbyzhk4ABfgDup22,0,,2300000.000000,3100000.000000,1
25,12PaJ5c4TcqzoZu3zh4QmEADuigHpAZhm1fDTJYZhE5WKt7P,0,,1200000.000000,1200000.000000,1
26,16PwWCQsBRTduCFzPt5y6wfHCGxFPFHAKwF97ZQCinGqHLYm,0,,1040000.000000,1040000.000000,1
27,13c1FsantxSuaNocA6pUsAxiinHSVp2m7hUVg1EJSwxf2L2j,0,,1040000.000000,1440000.000000,1
28,15fUbpx8ooAWN1mZK6jN4cjeAS3a5remWPmctDu9KRBshhqA,0,,1040000.000000,1240000.000000,1
29,121Rs6fKm8nguHnvPfG1Cq3ctFuNAVZGRmghwkJwHpKxKjbx,0,Colorful Notion,1000000.000000,1000000.000000,1
30,16GMHo9HZv8CcJy4WLoMaU9qusgzx2wxKDLbXStEBvt5274B,0,,900000.000000,46900000.000000,1
31,14Ns6kKbCoka3MS4Hn6b7oRw9fFejG8RH5rq5j63cWUfpPDJ,0,,900000.000000,39900000.000000,1
32,13pgGkebYEYGLhA7eR6sBM1boEvq86V9adonjswtYe1iDK2K,0,The White Rabbit,800003.100000,3.100000,1
33,12RYJb5gG4hfoWPK3owEYtmWoko8G6zwYpvDYTyXFVSfJr8Y,0,,800000.000000,27800000.000000,1
34,15MZqPwJTkmPieNpT3vNXeqZ9S1B5ThmnE8jtqotEVXQoLcE,1,,720000.000000,414000.000000,1
35,15D2JM548bqRuE45aDmeF2WqiKC56WtNnRmCxVSree9YKwVb,0,Paradox,685438.422458,189.220240,1
36,15G6MdGUR5CCNb87RkBjEHr3fe7cm2qML27a7idLj9qbJ6gK,1,TheGlobedotters,668041.900000,1.900000,1
37,12CGbGBgJJFonPT9D4wDeMSiScpNfj4RLYkMxqJZtfAUruAG,0,,663645.906369,663645.906369,1
38,15VmisVB89mY7miR17oBRF9m5nq9zvSSq3WdJzhoMdEk3HYm,1,,612002.200000,2.200000,1
39,13Q56KnUmLNe8fomKD3hoY38ZwLKZgRGdY4RTovRNFjMSwKw,1,CYBERGOV,600147.100000,3.100000,1
40,15apmwcdct9Euw7PVskR7tcakUxEjbXqfZCyY3pg2AAf4c9V,0,,536232.000000,536232.000000,1
41,1haHsRuCUCkbkPRmSrnfP8ps6cTaR2b5JCU5uNPUbxsVPbf,1,Flez,440000.100000,40000.100000,1
42,12x2JzNyvQsRkKF6dG8FS5rtXMYatGT74ro6kW6AVdXdL8u9,0,,400000.000000,400000.000000,1
43,16exbdjFr5x9CfPXHztZA3HUzQGNiFggfZFLM1k33QZW8gK7,0,,400000.000000,400000.000000,1
