rank,voter,voting_power_max_vefxs,voting_power_sum_vefxs,proposals_voted,in_top_n_sample
1,0x724061efDFef4a421e8be05133ad24922D07b5Bf,37075330.5785261169,1582490293.1905133724,50,1
2,0x88E863d4572d2DaE27db81E98837a9dbeb0e7a12,7226883.2911968324,7226883.2911968324,1,1
3,0x10c16c7B8b1DDCFE65990ec822DE4379dd8a86dE,5202363.1503561186,30770220.3972162530,6,1
4,0xb744bEA7E6892c380B781151554C7eBCc764910b,4004900.3557664715,4004900.3557664715,1,1
5,0xEB62EAe6d396Ff145810F9F99d2C0Fb94f3f1Fc7,1751952.8525818435,4178709.7980737672,6,1
6,0xa9B3C2209e85B136610959b85379Ce3c2c50eB7E,1675269.3901409868,3340595.0756120216,2,1
7,0x0116Bf9b4614B42c78302Eb2dEB31f2329ec6152,1600949.3069628235,17144873.8026444539,13,1
8,0xCC4e62029e0491a61a7ac1b60ab1721F6df841E3,1306904.2429141696,3310898.5160466619,3,1
9,0x96Adc904B512c6Fe6e9eA64f4E0327c7920aF981,600724.3817457799,1128114.3837158615,2,1
10,0x6fCBBf79bd685190Ea17a5f4Ec260dC779FCec08,310957.7591402017,1243776.5195009387,4,1
11,0xF6853c77a2452576EaE5af424975a101FfC47308,240390.6380929731,240390.6380929731,1,1
12,0x8df937Afdf1d08C2bA565d636ca1365a42144385,238639.9855709129,954134.3504762786,4,1
13,0x3c28C42B24B7909c8292920929f083F60C4997A6,164605.8937301890,862665.7685793064,6,1
14,0x4986D3B5160032aB7DF0FAc9503f6A2360F3f888,109997.9894466691,109997.9894466691,1,1
15,0x529656620D914443405A55ec42Ad0eAEaF0b4A2c,109662.5238616183,743602.3164948588,26,1
16,0x8593B031D147cB86824BA55DaCC7625A9D446bcF,106607.4037075925,106607.4037075925,1,1
17,0xa9BdADCE387700B18a3D5c2a668395bDAdc7b76B,104233.7702300149,197511.7933385303,2,1
18,0x92F5d472bb5018e858E23453641850bFeaC30e7d,96165.5371725624,384643.2559069178,4,1
19,0x94A468FCB53A043Bf5Cd95EF21892E02C71134Be,94375.4493189842,94375.4493189842,1,1
20,0x7f977c4CfF92c055173B865bCBD8158161ab95A9,82682.0678035211,330687.5770637801,4,1
21,0x8fcf29F004fdfb0b8C2EC7c3C219CF57fb7D2ff9,80464.5509508895,80464.5509508895,1,1
22,0x6a5dBF2Fb5206EC8192620810C3edB6d5e62B188,78089.5123686840,145404.6166384653,2,1
23,0x1aaF5e41c2c73617bc120097547A3410CaF6718A,76006.9231498984,76006.9231498984,1,1
24,0xEA7d6A3873CBB644a2FA3a124b00a25C33C661b8,72441.1295314348,459716.2551895424,9,1
25,0xf8cBde834E9FEd2C4baF4926A174868234EbDD9B,65785.5398459950,65785.5398459950,1,1
26,0x01ac1386a47B460C9186Dc9662E533Fe5F3beDcA,60935.1892608071,243705.4114741738,4,1
27,0xe32c8561C14f5fCc6a4d4310cd866Ae48aAdd533,53743.2176026086,214946.7024424812,4,1
28,0x3a652f60622d22cDE49dE3D9B5E9D0dCd4D6C32a,53407.7096297094,408966.4305839202,12,1
29,0xd7dEcD0B6E3dEBdD2831Ba9ED992289ADf86CF4F,52639.9082014769,252883.9531106414,5,1
30,0xf66468Ed50D9d635964DaEfa1AC3901A6faa4220,48497.3452015085,193989.3808060340,4,1
31,0x09D57F361f794D150C04443A7B6e369120DC2bea,47753.4938107962,274199.4776722208,6,1
32,0x7191045aDC32132Ec7766A77f0892797D8282F86,47542.8975125083,562744.0210180148,13,1
33,0x27b5491b519E72ce52F0DC9ccc9d7DC3d1E7b964,41799.5995324666,164675.4562478893,4,1
34,0x88156FACf7C584bF658baDBa8bF4d17AF6fB150E,37330.4117720639,182479.5327025687,5,1
35,0xeAAD3eF8c606e4e82D65D3001286Ca24566dB8A6,30740.4287962278,30740.4287962278,1,1
36,0x594B7eFdDa12093E98945C89243b71Ff79409e4A,29260.4889050108,117037.1208368268,4,1
37,0xbf1299B5cb0ac7A66bc2c8d2AEFe08B103399568,27014.8481190983,108046.0964196959,4,1
38,0x7bcD790D1282622dA859625F3786bE9F33042d50,24518.7452843179,49037.4194499144,2,1
39,0xD2c08468Bb6BFbA12Eb9860c388648b820e82e24,21092.6732307167,63268.0456635303,3,1
40,0x53575cfb111a4ec6607312fb6d009A4337Eb2159,19338.5627723817,252395.0939011551,14,1
41,0x7c56fBd5780cCCA74DEdFeF972b07C2AC0d50768,18867.1503517884,79040.9202011035,5,1
42,0x37eC1ae6691Dc5258494fBad3bb7C4Fb460BAdD6,16169.8915793302,16169.8915793302,1,1
43,0x47005117818B443B39C8449F5e10E101fc2B59E0,12404.9902625227,42713.7352849461,4,1
44,0x734A96c6819D468A7275C75fa14c4c56492Da381,11969.0283934000,46034.5486302962,5,1
45,0x6e74053a3798e0fC9a9775F7995316b27f21c4D2,11862.1628835939,11862.1628835939,1,1
46,0x8C4C289539a812402d8d2d18AC56786c861285Be,10739.7432684410,100624.6564796624,10,1
47,0x000000e28fAA823d5B53ff6C2922c28335840375,9789.3974740885,44620.3230868307,5,1
48,0x034f978581617FcABB75bfBe697d2230a3285437,8516.6746479926,64343.3884449803,8,1
49,0xb7B574DF3b93941964653D34538c16eD08CDdBEA,8021.7283797396,45210.0965860224,6,1
50,0xfa12612A0c2eF2E88861794422d379F1C92F70b4,8000.1009317209,45926.8284888699,6,1
51,0x169787961b393d800AfAfc0B9927088Dc84d692B,7676.4099645404,15022.2062126346,2,1
52,0xE9BD9bCE3B1AB61F380547EBaC49B4D0bfAE1c0C,6947.1445988610,27787.2634947626,4,1
53,0x1d8AC69eD56F6dbD336E949FE9A8b6B1f7b6f076,6900.5370063427,24166.2822666437,5,1
54,0x2EF0782745B9890c2D1047cBd33bE98e22ec35a2,6614.1249173430,6614.1249173430,1,1
