rank,voter,voting_power,dominance_full_pool,in_top_n
1,0x6d9ABa400a2a487a5Fb76c6d56518835553CD284,932516.8602809097,0.2623034037,1
2,0xbaF6dF027bdE688b9E25Da8038567212b8E02140,459325.0417642700,0.1292014407,1
3,0x6Aac7bfd17C654824011E9B2BadDbd23C733f1Ec,200480.8845993109,0.0563923513,1
4,0x39D787fdf7384597C7208644dBb6FDa1CcA4eBdf,191752.3393470983,0.0539371387,1
5,0xECC2a9240268BC7a26386ecB49E1Befca2706AC9,186782.4276491567,0.0525391750,1
6,0x57ab7ee15cE5ECacB1aB84EE42D5A9d0d8112922,163179.4768154204,0.0459000089,1
7,0x445cc6C3D51EB0a63395a613a0960c7922bCA0d6,140585.5535723262,0.0395446675,1
8,0x3DDC7d25c7a1dc381443e491Bbf1Caa8928A05B0,110566.9708321001,0.0311008777,1
9,0x76c32eF9587b07c77545Ad1a86E02fC1f045a3b9,83440.5524239674,0.0234706115,1
10,0x14D92832265eeAFDEF9e526356FEfc90105966c3,80757.5884509063,0.0227159328,1
11,0x8b37a5Af68D315cf5A64097D96621F64b5502a22,80006.4673009264,0.0225046534,1
12,0x4D6CAa3E0983fAc7B514D60339EBb538C5A85AAe,76286.9544368830,0.0214584086,1
13,0x753fE521BB97Cec830cA7025300aE6e47e0c8e4d,67009.6087095416,0.0188488264,1
14,0x2B888954421b424C5D3D9Ce9bB67c9bD47537d12,65000.1400000000,0.0182835922,1
15,0x92e24EE26c95c41824FCbf3cEf1D6b73f14f9563,65000.0000000000,0.0182835528,1
16,0x1B8C7f06F537711A7CAf6770051A43B4F3E69A7e,55000.1045000000,0.0154707279,1
17,0x9aa83712c3C1158f39C7DbaD7Cf9c300f2bC0987,45000.0000000000,0.0126578442,1
18,0x7a6081942AB087A21F7B8e956C671F7447C3e0D5,45000.0000000000,0.0126578442,1
19,0x009023dA14A3C9f448B75f33cEb9291c21373bD8,40328.1636629571,0.0113437248,1
20,0x12BEEF35025841EFccb77D6EE40df86400Fdb4bB,40000.0000000000,0.0112514171,1
21,0x6F2AFAaDcb9ef2ADAd5fBb2165781072cc4FCCE3,39160.7209549978,0.0110153401,1
22,0xD2C8dfA974a8f6a5d25a45aA3ebf35b58C059185,36010.4252193900,0.0101292079,1
23,0xAe5fB390e5c4fA1962e39E98DBfb0ed8055Ed7A9,34304.1811964779,0.0096492663,1
24,0x8787FC2De4De95c53e5E3a4e5459247D9773ea52,32857.3408374475,0.0092422912,1
25,0x0C36ac8863D0352436A70adDbF1Be34f3ea11017,30145.0054421037,0.0084793507,1
26,0xbb36054D7FD232933d4a526BE2226C66d0C216C7,25167.0896716417,0.0070791356,1
27,0x8751C3e03FAd81fD1158482444D1e534E9Ebb7Dc,22709.6119899754,0.0063878829,1
28,0x0EFcCBb9E2C09Ea29551879bd9Da32362b32fc89,18841.2511453604,0.0052997694,1
29,0xF3912C6DFF39927449f957326c61434cAC705036,15962.0799908202,0.0044899005,1
30,0xA577c7A303FFdFE6bEb3542A39F39459b4a0caf8,14079.0891904811,0.0039602426,1
31,0x86eAD908FB5d6F900ff109C9e26f79300f99271A,13857.2164617030,0.0038978331,1
32,0x978C01b69dD722754D65fe39c4308F51B912a73b,8860.3318056100,0.0024922822,1
33,0xdE4aAf47413E87Bf469c13AC4647C985B2FC6846,8297.2427867200,0.0023338935,1
34,0xb0e83C2D71A991017e0116d58c5765Abc57384af,8057.5959850845,0.0022664843,1
35,0x8f38831AF22ba36e871C15F2F1EC174446183B0c,6583.6630749481,0.0018518885,1
36,0xf26eca531C8B5F6AD7e2C2cdF17cE93005Bae875,6573.5727024486,0.0018490502,1
37,0x029FA9cB4CdCc90CBc9CbC794B21DEE75844BcBf,6140.4668061300,0.0017272238,1
38,0xE58585B22cC2aC4270a2b92c2D2d8C5dB5A3330E,5939.6439109672,0.0016707353,1
39,0xEAc401314D24ee8531c3577Ef33cDB7b847fb490,5607.8820215975,0.0015774155,1
40,0x2036CAfe136F1Ba6201ca6Da6fcf461bD4c5e635,5331.3132299675,0.0014996207,1
41,0x9E278520c9090D5642cf2464090aba997E5d0bc5,5323.7674378842,0.0014974982,1
42,0x2940f0096c23ECFDe5D4331f9a8BEA65b6F90858,4907.4724096469,0.0013804005,1
43,0xd4F42a7ce74947Db59678324fd3b05ac47063D1d,4894.7255818125,0.0013768150,1
44,0xAD30A962A03bC7134CC1545BEA7318C8E472FF97,4856.8270996318,0.0013661547,1
45,0x8d99F8b2710e6A3B94d9bf465A98E5273069aCBd,4221.2565296277,0.0011873779,1
46,0x3953C940eab02973Bd39898B108e203b74E22B36,4130.0661441896,0.0011617274,1
47,0xEa8d287E23F1E005Fa8BD3c9d1EfAe2c726dB9A4,3055.8528059859,0.0008595669,1
48,0x65592755751ff10067D92Fd5d791E281A80EbD9e,2932.1395670985,0.0008247681,1
49,0xACBa3F09ff5b3d34cD9bf943324A122dbbc1C983,2686.1346007209,0.0007555705,1
50,0x5eFE93A601BF52bBf7F581Bf0482C3bb7EC37Fd3,2614.9231884858,0.0007355398,1
51,0xDffDb9BeeA2aB3151BcBcf37a01EE8726F22ed94,2547.7467870814,0.0007166440,1
52,0x61b9d1A0dB7af848B31578B2E862EbadC3CE9C11,2048.5994274750,0.0005762412,1
53,0x0591926d5d3b9Cc48ae6eFB8Db68025ddc3adFA5,1997.6884140067,0.0005619206,1
54,0xe3d342983cebE13592BC479a0878f1B64b5c8128,1870.0288427653,0.0005260119,1
55,0x5514BD3f8022f4f04B214acD07953f5F0e3C86b1,1782.6165038340,0.0005014240,1
56,0xEb2BbD98598712f862341B0268A748d880f96fB1,1499.9400000000,0.0004219113,1
57,0xDC38C6Fa12cF847dC11eB5e067E24f2183497469,1344.1228100586,0.0003780822,1
58,0xf7b5ABD83EB69DBb3Fed16D998B9E36291b0054D,1274.4920210366,0.0003584960,1
59,0x2b5E8eC8AEFccf7594907aa98a53FF87aaB13943,1268.2808181331,0.0003567489,1
60,0xEeA1cBa569aDFB4A4D12f65f2987E8c89C05A1E5,1253.2819000000,0.0003525299,1
61,0xC95cCb6F3EfEA05D8753601c063C9cF578D25B32,1213.5748706163,0.0003413609,1
62,0xa99640210D21A7318c3b85C19Ce5b3d49251E04d,1171.2202844833,0.0003294472,1
63,0x025677d44F8694ff9bFBb9ed1b17c439F68647a9,908.0005648449,0.0002554073,1
64,0x5Ab37F9a9442e6fD86480750a0E4a02B104e51fC,894.0000000000,0.0002514692,1
65,0xAca61fB4a689242f8954C3F23F95a818857c6B2b,884.7285467112,0.0002488612,1
66,0xcCCCbA6d79954906663dA4Ebad032a472B775aFE,884.0915620282,0.0002486821,1
67,0x59b070fA414cB3e1952AC3D622FDdfAD804cc069,815.3076490000,0.0002293342,1
68,0x56CF0ff00fd6CfB23ce964C6338B228B0FA76640,790.1124736660,0.0002222471,1
69,0x24A91c580C6D864702CE750269d9f0270C21f889,760.8705746423,0.0002140218,1
70,0xB8Adfee40e1DEfBB8314d3FeC3C622Be2F624901,641.1783383096,0.0001803541,1
71,0x9BfD94b363beC6DDEa44f8cfF5d8D0509e4d1cDF,608.1890013153,0.0001710747,1
72,0x9381741a8aDa2B21CCAcC5a920A65e8C35d0fA94,607.0245305521,0.0001707472,1
73,0x76a2F877Aa817F694031CE4202f8Bf36A07AE2A2,544.7039770438,0.0001532173,1
74,0xb71979375B99Ce0752B7f5C7b092C31171C4A7a1,516.8104447696,0.0001453712,1
75,0x61F4aE313592714f0557E0B4edd1641ACB394422,450.0260396589,0.0001265858,1
76,0x49b61b0B725be7eE97361318EA6711F5ccF55eD3,447.6132915668,0.0001259071,1
77,0xb345fDCEC79E27A2f2C2C59785505e50Fa593EC0,443.8075906843,0.0001248366,1
78,0x59979a19da699e25791e65dE8D18858cb3F27D2C,418.3149667465,0.0001176659,1
79,0x872199e26da7C1d94E2d5bB0d45ce56FF9fc1b8e,412.0061938414,0.0001158913,1
80,0x258644a27b0B06366725884630910bfceD15bF70,400.0000000000,0.0001125142,1
81,0xb50eDaaEdB19aFf33ACF3Da30cE2E030A0c305F7,381.1342725439,0.0001072075,1
82,0x78E87757861185Ec5e8C0EF6BF0C69Fa7832df6C,374.0324023015,0.0001052099,1
83,0xB5487A8697C16624d4897083472306Cda2f32461,370.0417815850,0.0001040874,1
84,0x0f6f8fbc085E7fE1004d93cEdAF3A188EF0AF698,355.1382399021,0.0000998952,1
85,0x1023dfA98e53A0A9Cd22451d6c310e646167faee,353.3320000000,0.0000993871,1
