rank,hotkey_ss58,name,dominance_pct,stake_raw,nominators
1,5GKH9FPPnWSUoeeTJp19wVtd84XqFW4pyK2ijV2GsFbhTrP1,Taostats,13.08573700297269226667,767381773437417,6691
2,5F4tQyWrhfGVcNhoqeiNsR6KjD4wMZ2kfhLj4oHYuyHbZAc3,,12.28199087220604468484,720248002440716,8755
3,5CsvRJXuR955WojnGMdok1hbhffZyB4N5ocrv82f3p5A2zVp,tao5,10.57755216906832806956,620295268068012,1448
4,5FxcZraZACr4L78jWkcYe3FHdiwiAUzrKLVtsSwkvFobBKqq,<decommissioned>,7.76752177933970422430,455507751446432,203
5,5HEo565WAy4Dbq3Sv271SAi7syBSofyfhhwRNjFNSM2gP9M2,,6.49037160193894990812,380612331505082,744
6,5HK5tp6t2S59DywmHRWPBVJeJ86T61KjurYqeooqj8sREpeN,TAO.com,6.27068130737055007273,367729119209543,1375
7,5HYk8DMKWK8TJyPzZJ9vmZk7B5NPCgjnZoyZ1ZsB54RXdN47,,5.17700273666881827239,303592953171288,121
8,5Dd8gaRNdhm1YP7G1hcB1N842ecAUQmbLjCRLqH5ycaTGrWv,,5.12718013464739730267,300671225744871,24
9,5GP7c3fFazW9GXK8Up3qgu2DJBk8inu4aK9TZy3RuoSWVCMi,Datura,4.98371794900146891649,292258228722451,776
10,5FFApaS75bv5pJHfAp2FVLBj9ZaXuFDjEypsaBNc1wCfe52v,,4.73340388977108794677,277579158934873,2045
11,5Fy3MjrdKRvUWSuJa4Yd5dmBYunzKNmXnLcvP22NfaTvhQCY,Neuralteq.com,3.51984885081435860954,206413123903986,1804
12,5D4gEn5S422dTGR5NJJKZ93FNV6hDmfwDPfxFNgcoVnUkZ4f,Tatsu,3.20077940451760500906,187702058757768,702
13,5DvTpiniW9s3APmHRYn8FroUWyfnLtrsid5Mtn5EwMXHN2ed,FirstTensor.com,2.14543501494543242814,125813909158464,1074
14,5F2CsUDVbRbVMXTh9fAzF9GacjVX7UapvRxidrxe7z8BYckQ,,2.06572868841826995379,121139722126377,560
15,5G1NjW9YhXLadMWajvTkfcJy6up3yH2q1YzMXDTi6ijanChe,,1.82817096321272276604,107208717061811,24
16,5E4z3h9yVhmQyCFWNbY9BPpwhx4xFiPwq3eeqmBgVF6KULde,Tensorplex Labs,1.73864280170719154306,101958551990245,199
17,5CBDhkBxf3u7rSZqbcBW59NCpGbCsZSDFBgToEc4owqk8S3A,Unit 410,1.48696147797589750539,87199302243584,15
18,5DM7CPqPKtMSADhFKYsstsCS4Tm4Kd6PMXoh6DdqY4MtxmtX,Cortex Foundαtion,1.37688743971009119882,80744273331216,264
19,5HbScNssaEfioJHXjcXdpyqo1AKnYjymidGF8opcF9rTFZdT,,0.88179569311522143504,51710801052972,9
20,5F27Eqz2PhyMtGMEce898x31DokNqRVxkm5AhDDe6rDGNvoY,Love,0.66010599719917462114,38710338643693,19
21,5Fq5v71D4LX8Db1xsmRSy6udQThcZ8sFDqxQFwnUZ1BuqY5A,NorthTensor,0.58503444034710128108,34307946602743,68
22,5FFM6Nvvm78GqyMratgXXvjbqZPi7SHgSQ81nyS96jBuUWgt,PRvalidator,0.57913565646742226622,33962026519397,27
23,5DQ2Geab6G25wiZ4jGH6wJM8fekrm1QhV9hrRuntjBVxxKZm,,0.54993708598313850722,32249746133892,110
24,5CoZxgtfhcJKX2HmkwnsN18KbaT9aih9eF3b6qVPTgAUbifj,TAO.app,0.51628049423790567385,30276035745593,20
25,5ELREhApbCahM7FyGLM1V9WDsnnjCRmMCJTmtQD51oAEqwVh,Astrid,0.43600625338852116997,25568544735316,176
26,5CVS9d1NcQyWKUyadLevwGxg6LgBcF9Lik6NSnbe5q59jwhE,,0.37246378504086019579,21842248536780,112
27,5GmvyePN9aYErXBBhBnxZKGoGk4LKZApE4NkaSzW62CYCYNA,Neural Internet,0.33022799733939955935,19365431704720,569
28,5Deo9Q3SnZWNPSEPRTgapbyy6egKu2oaNSqD4RQHHJEuzD9Y,Firepool,0.28514458335470854733,16721622634713,34
29,5E4hBXkG9uVc1y9zdNzgCiLHrPbFukChkYeN1LxFnZgg4ASL,,0.22617494152477352065,13263488918886,159
30,5E2LP6EnZ54m3wS8s1yPvD5c3xo71kQroBw7aUVK32TKeZ5u,tao.bot,0.07127046041135592924,4179485824279,3
