symbol,hhi,gini,nakamoto,shannon_entropy,normalized_entropy,top1_pct,top5_pct,top10_pct,n_holders
AAVE,0.059344,0.8803,12,4.3864,0.635,21.67,38.54,47.65,1000
ANYONE,0.04036,0.7942,12,4.7694,0.6904,13.29,36.8,47.51,1000
ARB,0.097016,0.8289,14,4.484,0.6491,30.17,41.65,47.19,1000
AXL,0.246083,0.8502,2,2.4204,0.5256,46.38,73.32,80.74,100
COMP,0.027491,0.8634,30,4.9032,0.7098,14.06,25.45,32.36,1000
CRV,0.170599,0.8943,4,3.6887,0.534,40.53,53.08,60.66,1000
DIMO,0.281686,0.9369,1,2.7556,0.3989,52.25,65.15,72.42,1000
DRIFT,0.101134,0.9392,4,3.6821,0.533,27.01,53.26,61.68,1000
ENS,0.286087,0.9684,1,2.2789,0.3299,50.28,82.65,87.52,1000
ETHFI,0.066775,0.9459,6,3.7869,0.5482,19.02,48.29,59.88,1000
FIL,0.047273,0.7878,13,4.73,0.6847,18.01,36.14,45.57,1000
GEOD,0.132502,0.9604,3,2.8971,0.4194,24.95,69.04,81.85,1000
GMX,0.388968,0.9721,1,2.1436,0.3103,61.7,76.13,83.81,1000
GRASS,0.035201,0.7603,25,5.1176,0.7408,16.01,30.67,38.17,1000
GRT,0.099984,0.917,5,3.835,0.5552,28.61,51.81,59.66,1000
GTC,0.076552,0.9406,4,3.6244,0.5247,17.58,55.35,64.32,1000
HNT,0.102405,0.9825,4,2.9154,0.422,24.48,58.1,79.42,1000
IOTX,0.106455,0.987,5,2.5527,0.3695,19.75,59.93,90.57,1000
JUP,0.116602,0.9797,3,2.9661,0.4294,25.07,60.28,75.04,1000
LDO,0.018498,0.5186,30,4.6947,0.8956,9.89,19.81,27.71,189
LPT,0.776355,0.9963,1,0.5811,0.0841,87.72,98.17,98.77,1000
META,0.048249,0.898,19,4.4891,0.6499,19.61,33.98,41.44,1000
MKR,0.045041,0.8982,8,4.2367,0.6133,11.37,41.71,56.16,1000
MOR,0.072433,0.7708,5,3.2609,0.7081,15.86,54.43,71.49,100
MPL_SYRUP,0.216165,0.9466,2,3.0289,0.4385,44.54,64.8,72.0,1000
OP,0.12066,0.8904,4,3.8793,0.5616,31.82,54.01,60.76,1000
POKT,0.159159,0.962,2,3.0089,0.4356,34.78,64.8,77.23,1000
POL,0.227909,0.9705,2,2.5246,0.3655,37.13,74.33,80.98,1000
RENDER,0.032305,0.8944,12,4.44,0.6428,10.41,31.79,47.01,1000
RPL,0.252967,0.9351,2,2.9201,0.4227,49.28,65.93,74.9,1000
TEC,0.027769,0.9067,14,4.3698,0.6611,9.22,29.62,44.21,742
UNI,0.100843,0.8869,8,4.1132,0.5954,29.1,46.21,52.12,1000
W,0.014927,0.8716,43,5.002,0.7241,7.04,18.53,23.78,1000
WXM,0.569287,0.9722,1,1.3852,0.2005,74.83,88.86,93.99,1000
ZRO,0.035786,0.5372,13,3.9964,0.8678,12.83,31.9,45.3,100
