token,full_hhi,insider_count,n_top10,insider_count_frac,insider_balance_frac,insider_hhi_contribution,non_insider_hhi_top10,non_insider_hhi_approx,n_non_insiders,all_insiders,supply_corrected
AAVE,0.020202,2,10,0.2,0.0708062073170888,0.0034389717262218013,0.007602789037380433,0.019415110994321784,8,False,False
ANYONE,0.04036,4,10,0.4,0.1031654914013891,0.0028092115768708864,0.04452842596636316,0.046686835559379136,6,False,False
ARB,0.011844,0,10,0.0,0.0,0.0,0.0035922806183512775,0.011844,10,False,False
AXL,0.003761,1,10,0.1,0.4334804098643276,0.18790526573614547,0.08181463164258715,,9,False,True
COMP,0.02893,1,10,0.1,0.0151665186300407,0.00023002328735537164,0.023194265086003574,0.02959074739493785,9,False,False
CRV,0.017005,0,10,0.0,0.0,0.0,0.0035806459375699227,0.017005,10,False,False
DIMO,0.037903,10,10,1.0,0.21483867998545397,0.006999346025809695,,,0,True,False
DRIFT,0.101134,5,10,0.5,0.3487130109200751,0.07459297716182904,0.05896075814255671,0.06257096474903036,5,False,False
ENS,0.134531,1,10,0.1,0.051921398121074,0.0026958315828470667,0.033872193972070384,0.1466704380290405,9,False,False
ETHFI,0.066775,3,10,0.3,0.31922664177614674,0.04893732300386421,0.0335309192959863,0.03848869556603637,7,False,False
FIL,0.047273,1,10,0.1,0.180069891466242,0.03242516581266417,0.018649689522427963,0.022085612100809462,9,False,False
GEOD,0.132502,5,10,0.5,0.4782077228630966,0.08351418405918604,0.17731752711311208,0.17992552703010695,5,False,False
GMX,0.056379,2,10,0.2,0.021827363754730898,0.00024239541945276285,0.00793192018657497,0.05866986943438321,8,False,False
GRASS,0.035201,1,10,0.1,0.1601452795392452,0.025646510558702987,0.010956223523763601,0.01354562816298155,9,False,False
GRT,0.032763,1,10,0.1,0.0095440944202007,9.108973830170614e-05,0.011111071273197317,0.03330460106875737,9,False,False
GTC,0.076552,4,10,0.4,0.07610733460216129,0.0015214131349036856,0.08544722945327486,0.08790130134537069,6,False,False
HNT,0.102405,5,10,0.5,0.468304,0.074338553742,0.09145931254273135,0.09927974204026772,5,False,False
IOTX,0.106455,0,10,0.0,0.0,0.0,0.10565697228744796,0.106455,10,False,False
JUP,0.116602,4,10,0.4,0.280586,0.040435941266,0.14276820214635344,0.14716472159895316,6,False,False
LDO,0.012817,1,10,0.1,0.0245100286570641,0.0006007415047701034,0.013661620364801867,0.01283785883655291,9,False,False
LPT,0.198868,3,10,0.3,0.019689316119983,0.0003223861393376838,2.4245100918321506e-05,0.20660119336137694,7,False,False
META,0.048249,10,10,1.0,0.4143676736088373,0.04522671219878868,,,0,True,False
MKR,0.045041,2,10,0.2,0.1566624037123806,0.014691609547823774,0.039591700169704785,0.042672398047382036,8,False,False
MOR,0.013252,3,10,0.3,0.2171227438250501,0.016121228268352418,0.07573308324888409,,7,False,True
MPL_SYRUP,0.024243,1,10,0.1,0.0234425913619243,0.0005495550897621677,0.0036355415750778824,0.024844636747263157,9,False,False
OP,0.009097,0,10,0.0,0.0,0.0,0.005007277092582438,0.009097,10,False,False
POKT,0.159159,2,10,0.2,0.5150756919084686,0.1489280715919457,0.04058933598539604,0.043507801261098794,8,False,False
POL,0.03475,1,10,0.1,0.0085957651770148,7.388717897838029e-05,0.0034694205191364534,0.03528002367754113,9,False,False
RENDER,0.032305,2,10,0.2,0.1500749247908249,0.012947070830369119,0.021720451424368695,0.02679770560612327,8,False,False
RPL,0.03915,1,10,0.1,0.0212345006099073,0.0004509040161521536,0.009275784927097897,0.040396479172399455,9,False,False
TEC,0.027769,2,10,0.2,0.0905797435946608,0.004174515148183123,0.023805847260998422,0.028528652089471928,8,False,False
UNI,0.0322,1,10,0.1,0.0138179825379799,0.00019093664141991743,0.014913976064929136,0.03291234356352847,9,False,False
W,0.014927,3,10,0.3,0.1540966307835928,0.009548600909168892,0.0014779951560847063,0.007516428235913446,7,False,False
WXM,0.147854,5,10,0.5,0.0490591940621945,0.0005650487078325805,0.009692909631477932,0.16287829040088025,5,False,False
ZRO,0.009561,3,10,0.3,0.2121804790794024,0.019026361186419247,0.008402350451203893,,7,False,True
HYPE,0.004526,0,10,0.0,0.0,0.0,0.00014808752184216576,0.004526,10,False,False
ATH,0.1678,3,10,0.3,0.32774116135865416,0.0481728886949324,0.24941973393294578,0.26470160458690584,7,False,False
BAL,0.0295021738512322,0,10,0.0,0.0,0.0,0.18197711882260437,0.0295021738512322,10,False,False
IO,0.1113,0,10,0.0,0.0,0.0,0.284025328721537,0.1113,10,False,False
