token,fdv_usd_cg
COMP,167939773.0
MKR,156338218.0
AAVE,1471909189.0
UNI,2207117641.0
CRV,323291399.0
RPL,37011839.0
JUP,537607094.0
MPL_SYRUP,
GMX,64551659.0
DRIFT,37589287.0
ETHFI,364229750.0
GRT,257044737.0
OP,226055742.0
POL,971317828.0
ARB,551072641.0
ENS,212982923.0
DIMO,7297170.0
IOTX,44062499.0
WXM,
ANYONE,
GRASS,160219812.0
LPT,102557900.0
HNT,197705610.0
GEOD,59840200.0
FIL,627729476.0
RENDER,880620450.0
POKT,25383980.0
GTC,6650728.0
TEC,0.0
ZRO,480000000.0
W,82000000.0
MOR,8600000.0
AXL,53000000.0
META,
