token,address,balance,rank,share
AXL,0xd2ff2d432a0078672cf4f9e2e97858a33cbdeebc,113133137.39239943,1,0.4334804098643276
AXL,0x54d1774631980b22c85f13bfaf2f45291b22cbf9,38171390.12499894,2,0.1462573231668136
AXL,0x377b8ce04761754e8ac153b47805a9cf6b190873,11314769.227231996,3,0.0433536178275413
AXL,0xf42aac93ab142090db9fdc0bc86aab73cb36f173,8495278.775746763,4,0.03255047115726707
AXL,0xfcac185644e5c6cd73c309a60d2758ae56cf78b3,7736941.596711978,5,0.029644829903430144
AXL,0xd1669ac6044269b59fa12c5822439f609ca54f41,5671286.544276,6,0.021730075487466926
AXL,0x3de3a257f0e50af9bf48aea633e06085695d9c1b,3606881.7695649937,7,0.013820111629894969
AXL,0xc80afd311c9626528de66d86814770361fe92416,3396329.1748859994,8,0.0130133592747218
AXL,0x05e9c5bcc805aefefebbec13742cec01c6fac42e,2888528.0651910007,9,0.011067670874013336
AXL,0x0431e3b8bd78ef3aa3527d2d8bbcf089012f0cdf,2528071.9919069996,10,0.00968654903838985
AXL,0x7dafba1d69f6c01ae7567ffd7b046ca03b706f83,2423444.5703999996,11,0.00928565909046422
AXL,0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,2282290.6007349417,12,0.008744814188301213
AXL,0xd2dd7b597fd2435b6db61ddf48544fd931e6869f,2120843.61536,13,0.008126214660304817
AXL,0x1a9d699aee3a56ca49d0cc3b542ae3a37885a3e1,2030825.6293310001,14,0.00778130215828811
AXL,0x58edf78281334335effa23101bbe3371b6a36a51,1770648.4751551151,15,0.00678440856876167
AXL,0x0529ea5885702715e83923c59746ae8734c553b7,1736308.8613719996,16,0.006652833062235608
AXL,0x50e11ee6ecd5dc8f5cbd06951fca04c536e8fb24,1700822.7582250002,17,0.006516864672326158
AXL,0x708cf4a108c316237b4938df834b04446eef7b8c,1473045.051113,18,0.005644112655431238
AXL,0xcae35e657fe52adbad8954c93331080c5bce68a6,1453147.5776451826,19,0.005567873587436704
AXL,0x7f7a3daa21095e13050b1eb92dcb5e462458fd0e,1434427.9900381565,20,0.005496147701498974
AXL,0x2d2908c5873554f2744dd88c7604847cdcc57db9,1415948.1605945826,21,0.005425340471839651
AXL,0x98adef6f2ac8572ec48965509d69a8dd5e8bba9d,1338312.2059419993,22,0.005127870904401747
AXL,0x167a9333bf582556f35bd4d16a7e80e191aa6476,1246927.6228750022,23,0.004777722155447986
AXL,0x9642b23ed1e01df1092b92641051881a322f5d4e,1165714.5495579839,24,0.004466546516557166
AXL,0x5bdf85216ec1e38d6458c870992a69e38e03f7ef,1161700.4186350107,25,0.00445116599094066
AXL,0x3cc936b795a188f0e246cbb2d74c5bd190aecf18,1063277.584088996,26,0.0040740495099309
AXL,0x09363887a4096b142f3f6b58a7eed2f1a0ff7343,1058447.1440670006,27,0.004055541218118069
AXL,0xf35a6bd6e0459a4b53a27862c51a2a7292b383d1,759965.5999999999,28,0.002911880704131534
AXL,0x4fb312915b779b1339388e14b6d079741ca83128,742999.9999999995,29,0.0028468753890567265
AXL,0x0d0707963952f2fba59dd06f2b425ace40b492fe,731895.1738149524,30,0.00280432618802582
AXL,0x43684d03d81d3a4c70da68febdd61029d426f042,714416.0451,31,0.0027373532386842955
AXL,0xf8d3188e8349de474a2b086976cda158b4e109db,612516,32,0.002346913493678965
AXL,0x79df92eaf5a0fb5bb1310bcbcbfff05c39794e1a,554981.000005,33,0.002126462651828165
AXL,0x13b29483bf2bf79b956f1f3f836cfb8e50bf9117,530000,34,0.0020307455668910714
AXL,0x27ca5f084f03d92c32680f25bbf62e169720a17d,504384.9259550001,35,0.0019325989667732034
AXL,0x636858d62f2e81deb7fd563621faef1a6a14d6c5,481256.78990999993,36,0.0018439813068791698
AXL,0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,479690.50348399905,37,0.0018379799309997682
AXL,0xd7e27f6f22d0d4cc9549c340097174790ddcddd2,477566.02085000003,38,0.0018298397730923518
AXL,0xb0a3a2b60e969afd26561429aa4c1444c57e4411,462999.8866,39,0.0017740282399698467
AXL,0x1579b5f6582c7a04f5ffeec683c13008c4b0a520,454749.8852279596,40,0.0017424175725866083
AXL,0x2982bb64bcd07ac3315c32cb2bb7e5e8a2de7d67,451196.18230900017,41,0.0017288012207965617
AXL,0xdc105b223129cd754bf3b5b2c77769f6a7649ff1,422482.820325,42,0.0016187832348351523
AXL,0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,396001.77088799607,43,0.0015173185673807768
AXL,0xd22095b44ac2205b5fd1f5605a81d0e1a3f76221,373707.128969,44,0.0014318945197535598
AXL,0x1c89f170bdc0a7ebd2f521e5f516b2ede6c4ed24,373133.19000000006,45,0.0014296954178347622
AXL,0x46340b20830761efd32832a74d7169b29feb9758,358339.203009136,46,0.0013730108451963823
AXL,0xe4aa002d49faf0e62b923c924aac54c25702332b,352325.3400000008,47,0.001349968155298851
AXL,0x5b71d5fd6bb118665582dd87922bf3b9de6c75f9,351086.70301199984,48,0.0013452221995019261
AXL,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,344832.34379599895,49,0.0013212580254422315
AXL,0x97eb82b91b0c0ae718babff1ead0f2f391cfa025,336269.31609900016,50,0.001288447967829315
AXL,0x527f4b683036e9122ddf3f23c99aa788b3aa34bc,332193.605077,51,0.0012728314921880775
AXL,0x748de14197922c4ae258c7939c7739f3ff1db573,332000,52,0.001272089675863841
AXL,0x9b630a170892b32cfa0d11b55393bf9c2eb7e2c2,300327.57,53,0.001150733738476732
AXL,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,289227.57234800025,54,0.0011082030384308831
AXL,0x5ca4ee92fc016cccb32f3ae27673a7cdfbdda01a,285919.09165099997,55,0.001095526278980736
