token,address,balance,rank,share
BAL,0xc80afd311c9626528de66d86814770361fe92416,3575611.5509705395,1,0.11885206022820895
BAL,0x4e9a9483bdfc66b83ff248754ef2f7035c78aef7,1831909.6943956169,2,0.0608920287417266
BAL,0x2f28cac69f61841d6fe1a01d5bd80ac352ea6d2b,1658882.0768627813,3,0.05514065208153706
BAL,0xff052381092420b7f24cc97fded9c0c17b2cbbb9,1347308.9732160117,4,0.044784072583950306
BAL,0xa0b3da7383b969008ebbab1d2567c93a143f472a,552676.4600494797,5,0.018370769581691426
BAL,0x2516e7b3f76294e03c42aa4c5b5b4dce9c436fb8,456421.2635087818,6,0.015171280975769483
BAL,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,438565.0309196029,7,0.014577746135397366
BAL,0x91b9e59614995e13a32e36440ac524825f7ae39e,409092.9459021415,8,0.0135981044786868
BAL,0xda6b2a5e0c56542984d84a710f90eefd94ca1991,405139.3964257616,9,0.013466689895815133
BAL,0xd519d5704b41511951c8cf9f65fee9ab9bef2611,397270.4143391972,10,0.013205127721189874
BAL,0xbb19053e031d9b2b364351b21a8ed3568b21399b,388074.6347820378,11,0.012899463269055474
BAL,0xe08a8b19e5722a201eaf20a6bc595ef655397bd5,378250.0363289525,12,0.012572897099767003
BAL,0x1c39babd4e0d7bff33bc27c6cc5a4f1d74c9f562,377798.5392017843,13,0.01255788949533735
BAL,0x19ae63358648795aaf29e36733f04fcef683aa69,373843.5491772152,14,0.012426427029154618
BAL,0x7dafba1d69f6c01ae7567ffd7b046ca03b706f83,370370.3619203358,15,0.012310979516147666
BAL,0x6d19b2bf3a36a61530909ae65445a906d98a2fa8,364419.5431180597,16,0.012113176409011125
BAL,0x58edf78281334335effa23101bbe3371b6a36a51,363859.69651984144,17,0.012094567306578862
BAL,0x77fb357f55bef5a70d30663955f8c9f35794df0e,361383.1222065204,18,0.012012246854468629
BAL,0x54c3c925b9d715af541b77f9817544bdc663345e,342674.11658092914,19,0.01139036614071517
BAL,0x9b71dbccd9ffb858899ef3244b09a5354b16048e,327028.9586462907,20,0.010870326637927802
BAL,0x242d7cd78cce454946f35f0a263b54fbe228852c,313974.46974249417,21,0.010436400055209002
BAL,0x88ad09518695c6c3712ac10a214be5109a655671,304648.6696123902,22,0.010126413765328465
BAL,0x66c9e1e4fe518cebfe59c9de16e1c780ef5bacd3,280122.0451539529,23,0.009311157464196532
BAL,0x1cbad69d9cc22962a0a885921518c06ed2f04ffd,273606.2296332299,24,0.009094574066457294
BAL,0xe867be952ee17d2d294f2de62b13b9f4af521e9a,271921.25002885424,25,0.009038565941814056
BAL,0x74c3646adad7e196102d1fe35267adfd401a568b,271197.80534755846,26,0.009014518897103675
BAL,0x438fd34eab0e80814a231a983d8bfaf507ae16d4,261898.94930183492,27,0.008705428219034968
BAL,0xd09ca75315e70bd3988a47958a0c6c5b30b830e1,247836.48132968065,28,0.008237996769460958
BAL,0xd2dd7b597fd2435b6db61ddf48544fd931e6869f,232570.2820730551,29,0.007730553718771683
BAL,0x9b0c45d46d386cedd98873168c36efd0dcba8d46,207259.1276286,30,0.006889219919058084
BAL,0xe7a76d8513e55578c80e4b26fc61ee7d4906d4cd,205398.07745177465,31,0.006827359271012095
BAL,0xb23360ccdd9ed1b15d45e5d3824bb409c8d7c460,202223.54683136,32,0.006721838998713108
BAL,0x3e2897e71e504b0510bed7983579280b32ac1ca5,199999.99999999997,33,0.006647929090392861
BAL,0x59e0cda5922efba00a57794faf09bf6252d64126,198040.33793642512,34,0.006582790618193969
BAL,0x6d5dda04760f0515dc131ff4df76a5188ffcdfcb,194932.95399423,35,0.006479502277672276
BAL,0xd3238d8be92fd856146f53a8b6582bc88e887559,191431.82452623404,36,0.006363125975474665
BAL,0x103357363575f7abfb934d475fcb157af9d199cc,188163.04005505785,37,0.006254472738593883
BAL,0x3154cf16ccdb4c6d922629664174b904d80f2c35,186506.05675381515,38,0.00619939520114075
BAL,0x8c8c8530464f7d95552a11ec31adbd4dc4ac4d3e,186300.19520795075,39,0.006192552436344024
BAL,0x9642b23ed1e01df1092b92641051881a322f5d4e,183673.2579847835,40,0.006105233974421377
BAL,0x1a755cf9771db19c49fa03a32d8d24f556106fcb,181818.18,41,0.006043571839921429
BAL,0xf96cd1cf416b50b60358a17bc8593060148de422,158918.88967315847,42,0.00528240754835562
BAL,0x0a29500ccc6af0b11c72d4e171d925eb0bb7ee15,158876.6264896448,43,0.005281002735119955
BAL,0x957517f0bd67f4193472885a3ea5f3cd8c3dc008,150691.23854480824,44,0.005008923341946804
BAL,0x59a19d8c652fa0284f44113d0ff9aba70bd46fb4,150267.56726790965,45,0.0049948406589145145
BAL,0x0f11640bf66e2d9352d9c41434a5c6e597c5e4c8,139880.43,46,0.004649575898868312
BAL,0xef287b8ad0ead84a6c7007ea56c6d46fd06af1a0,136685.08923168498,47,0.004543363904631313
BAL,0x967159c42568a54d11a4761fc86a6089ed42b7ba,136247.7335090261,48,0.004528826355473745
BAL,0xd4b46b14604f8ca35c8e80e497a3f22b85752149,135000.0,49,0.004487352136015182
BAL,0xa02fe00c9660bdc3363efbebb98c4d8deafd9f64,134685.0,50,0.004476881647697813
BAL,0x91d40e4818f4d4c57b4578d9eca6afc92ac8debe,127395.61905310304,51,0.004234585209458654
BAL,0x4c9f7207be28278b9dca129f2e211acfff48fb01,121754.30441021048,52,0.004047069910845931
BAL,0xcaab2680d81df6b3e2ece585bb45cee97bf30cd7,120503.84317182406,53,0.004005505022630543
BAL,0xaa857ddce7b5b9cb17296c790cb40e8c11a3d4f0,114940.48446708854,54,0.003820580951763034
BAL,0xca054c84ea710f7e0b71c781cf1809b2a261ab99,113551.13209285866,55,0.0037743993714357883
BAL,0x79e970f953c7cfbbb74e05b6df54f75db4a3cad6,112618.15621483343,56,0.0037433875840349948
BAL,0x2a14db8d09db0542f6a371c0cb308a768227d67d,109649.70888228616,57,0.003644717447158294
BAL,0x1e26fe447505d58c35c7fbce2f197099c58a06a4,107530.57281958032,58,0.0035742781157694806
BAL,0x4d34c08f9bed000df0fdee895fceca5373b39daf,107483.07932274324,59,0.0035726994487733418
BAL,0xe3ecd65cf2ad2eba2aa2be1d0894753b2172abd1,101973.33569338,60,0.0033895575240020883
BAL,0x224298c9e2ffb14f5ab568b8b71c734eb1f5fa83,100500.0,61,0.003340584367922413
BAL,0xc0735dc9bd6a7d16826dbce01863970cf3881397,100246.97172908206,62,0.0033321737979077775
BAL,0x9dde0b1d39d0d2c6589cde1bfed3542d2a3c5b11,100086.37852779962,63,0.0033268357368351534
BAL,0x769550b49c0501dca861c3f79447eb5f510bbfd1,100000.0,64,0.0033239645451964314
BAL,0x9df24e8e4358ec21e6606c55cc2a2fce6ae8eb3e,100000.0,65,0.0033239645451964314
BAL,0xfa98226f05b1db1a454d0d4b0dd2efebb80e74d2,97876.46791743382,66,0.00325337909166606
BAL,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,97651.3448884684,67,0.0032458960820001773
BAL,0x9a6771d6f66c89814e612e2326a84e659f5b1214,92318.19029924057,68,0.0030686239143137275
BAL,0xf86e9f9331fa122d495236df0bab70b66b55e387,92317.99858237262,69,0.0030686175417130096
BAL,0x326d9f47ba49bbaac279172634827483af70a601,85998.68,70,0.002858565632536934
BAL,0xc9cea7a3984cefd7a8d2a0405999cb62e8d206dc,85082.93217458786,71,0.0028281264994968274
BAL,0x1090cdfd5e7aac76248665d530b0a63d4da3f9a5,84532.88676295482,72,0.002809843185031665
BAL,0x272cda0d3ef7750508a17bae24c8a8692a10c32e,84137.53636511136,73,0.0027967018779780557
BAL,0xc22bc19993234078f2ab8e2bd70d14cbce9cfbb9,83192.00200189199,74,0.002765272650981995
BAL,0xe6228974894d2b9612e41a6248255cbd7996fc0c,83192.00196241001,75,0.002765272649669628
BAL,0xef3cb1d826a8940f526b45264be7f47c99770cc2,80738.95096078987,76,0.0026837341041001887
BAL,0x00a7ba8ae7bca0b10a32ea1f8e2a1da980c6cad2,79653.61063865153,77,0.0026476577765975895
BAL,0xe2c91f3409ad6d8ce3a2e2eb330790398cb23597,77769.17237924837,78,0.0025850197169789116
BAL,0x4fb312915b779b1339388e14b6d079741ca83128,77392.0,79,0.002572482640818422
BAL,0xd79ba88c4dfd7af91400b1ca4555272af97a4e6d,77391.73981834608,80,0.0025724739924724927
BAL,0xe413303117095e9e7057e5b19a7a8ca9d5ae63ff,76638.53418388472,81,0.0025474377042305754
BAL,0xa01aa2196724a39290f465b3925e5dcafe7f2256,74250.00013588008,82,0.0024680436793249557
BAL,0x0412ed8438b5fae246606909ef8ba365f9103783,73547.79505104918,83,0.00244470263127061
BAL,0x3650cde7403d45f09e34f2d3704ad8e1c02b5c58,71748.23950044357,84,0.002384886042797365
BAL,0xf227494f11fdcfe35b49dcce220928c86c62a571,71743.62878899073,85,0.0023847327843833917
BAL,0x06808e6d257e06236bfe1db74fd62c1f582806af,71493.31944352551,86,0.0023764125904868144
BAL,0x84525d09fc9a0a3978e12a00e684d5cac1f52c79,71480.15277267591,87,0.002375974935015991
BAL,0x5d217dcc8cb22eafec2dbc372d91e2f6dbb80d26,71469.60042275314,88,0.002375624178645873
BAL,0x5f65f7b609678448494de4c87521cdf6cef1e932,70113.63060659822,89,0.0023305522227133183
BAL,0x3cc936b795a188f0e246cbb2d74c5bd190aecf18,68996.42730677733,90,0.0022934167811295074
BAL,0x7bdc169e0dc8696dbe9348fb57f061135a4d2c92,66192.50903236546,91,0.002200215531811773
BAL,0xc186fa914353c44b2e33ebe05f21846f1048beda,65557.88029667782,92,0.0021791206976438876
BAL,0xa802704860ed515a6784a650bc15ad7d630d818d,64374.999999999985,93,0.002139802175970202
BAL,0x788c0d59aee802ee615b3db138215862247f5960,63314.91076831502,94,0.0021045651857615486
BAL,0xa03400e098f4421b34a3a44a1b4e571419517687,63250.42092562793,95,0.002102421566255377
BAL,0xd3cf852898b21fc233251427c2dc93d3d604f3bb,58545.45073994971,96,0.00194603002542137
BAL,0xc8a59ba261f36dd2d1d27c0337bd4e328f004563,57534.42220909041,97,0.0019124237955137865
BAL,0x46692225bd0c88f901b88fd279a1d59e69e23a3b,57530.80969290063,98,0.0019123037167564486
BAL,0x4f21734ad1c41affc712da0ed4a43edd1fc9219b,57530.08718966268,99,0.0019122797010049813
BAL,0x7b556f4405120d270a0321ab55cd35b5957cf519,57528.33797129709,100,0.0019122215576066913
BAL,0x91dca37856240e5e1906222ec79278b16420dc92,57489.30697567965,101,0.00191092418115073
BAL,0xc82c28a1478de97dc06438690ae19798951b837e,57451.410389697994,102,0.0019096645120688601
BAL,0x5fa9ebc0d504429509deccb5c9d2147b4ff8cd26,57449.81327727722,103,0.0019096114246182467
BAL,0xb24247d8b7681a2d419ebb8a2796ad385ceac728,57441.90376814592,104,0.0019093485153390234
BAL,0xf01e2b33cb2eb0ff45628acebabb5f6daac3849d,57438.44335790095,105,0.0019092334925293621
BAL,0x197fdc04553f243b17344534d5cc23fa7bf969f0,57436.61808656299,106,0.0019091728211572344
BAL,0x272f97b7a56a387ae942350bbc7df5700f8a4576,56277.82485894114,107,0.0018706549451189469
BAL,0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,51525.28627409978,108,0.00171268224756204
BAL,0x0b177b7f10faeadd6eee6d2cc46d783f460566c8,50068.925752293115,109,0.0016642733401669486
BAL,0x6e33b41e44ca2be27e8f65b5231ae61a21044b4a,49694.77272258134,110,0.001651836626114551
BAL,0x0ed9a1323db9653f4650de782ade8504617ecbd3,48970.08535084728,111,0.001627748274814595
BAL,0xf3b4829c8b9e2910c2396538f49a12b0c2475a7e,46310.85557436151,112,0.0015393564198689016
BAL,0x94a484f7e55f428361debee9af92f635fb85a80a,45711.399999999994,113,0.0015194307291129213
BAL,0xdea0d77a9b02020acf075074881f370a31009982,45000.0,114,0.001495784045338394
BAL,0x776fcd96b8f671a40b339341d85ef9c4035a3045,43705.691536,115,0.0014527616908895575
BAL,0x1542326f181340ea035687c604f2c99803c62c32,43073.3218467994,116,0.0014317419466259608
BAL,0xbe7760adb8e08218d984d50822e7656d46effd40,43027.30979848752,117,0.0014302125224535552
BAL,0x2509dc0b4d696a2261d47307a017f88f83295029,42098.6523033023,118,0.001399344276567289
BAL,0x36cc7b13029b5dee4034745fb4f24034f3f2ffc6,41044.09762162715,119,0.0013642912528386982
BAL,0x6724f3fbb16f542401bfc42c464ce91b6c31001e,40581.44682424783,120,0.001348912904365741
BAL,0xd4d8583fdb310107dc6f936db23b2d0142139ab8,40097.914082450035,121,0.0013328404474639661
BAL,0xf0bc36fa47a052b92da4f50bd042d9e047192a65,40096.38034750632,122,0.0013327894666582197
BAL,0x000844e0f9f187569d2e8b49b8260fd4a24328fa,40095.125473461434,123,0.0013327477550898808
BAL,0x4279ffe314dbf5d8fcced919235a72003f871f14,39843.01779208587,124,0.0013243677851452402
BAL,0xbbeafcb0defe40aba858c5931aad2eaceba0e67b,38989.30034396928,125,0.0012959905198536889
BAL,0x42d13efa958586ff2d3ec20956d44dad8da55864,38295.85060379925,126,0.0012729404963516804
BAL,0x3b8910f378034fd6e103df958863e5c684072693,37826.058000000194,127,0.0012573247567654448
BAL,0xf02e86d9e0efd57ad034faf52201b79917fe0713,36779.451957210586,128,0.0012225359429752349
BAL,0xad9a49d96a2a46bb87fed7d89c050ac67afe510c,36739.90502899,129,0.0012212214171024682
BAL,0xb67a9bf270fb32a8706cfc826a884f174c18cfe1,36691.78692533465,130,0.0012196219883971436
BAL,0xd97107064b8c7520aae6c6e6ca75bb2aa73b670d,35465.74731234538,131,0.0011788688663513167
BAL,0xffffffffffffffffffffffffffffffffffffdead,35000.0,132,0.001163387590818751
BAL,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,33120.0,133,0.001100897057369058
BAL,0xcc282e2004428939ee5149a9e7872f0b4d5d5ec7,33079.23714365999,134,0.0010995421144767068
BAL,0xb8ba36e591facee901ffd3d5d82df491551ad7ef,32914.82093571,135,0.0010940769780178926
BAL,0x54a966d47a09cffda7d2a8909d16c287911b4e94,32908.10666666667,136,0.0010938537980954232
BAL,0xfac58bcb27dabe2077aa807fc47b91f6646d4b90,31610.31188943723,137,0.0010507155598309056
BAL,0x1c8bcb6348c84122e67a50e513a1e183c0e6929a,31457.658095777035,138,0.0010456414018527435
BAL,0x0a3c21cf1c387f29e8c4eec2d68a676b8ed85fb4,31246.2349742198,139,0.0010386137722518333
BAL,0xbda6ba3ad624582495c55451a1840e563fc16389,28912.136331797825,140,0.0009610291609278157
