address,balance,rank,share,token
6tZT9AUcQn4iHMH79YZEXSy55kDLQ4VbA3PMtfLVNsFX,103297561.092698000000000000,1,0.250747,JUP
27b4PRN7K37rpTywq65t29rjuNfQkYpxZUjkbtHc5VvZ,80127396.468181000000000000,2,0.194503,JUP
43DbAvKxhXh1oSxkJSqGosNw3HpBnmsWiak6tB5wpecN,30770089.031336000000000000,3,0.074692,JUP
Gem2VAypSg7Ai7vjDKPTtqFahpoQWkfgVkyzx3rPoTka,17893775.910653000000000000,4,0.043436,JUP
6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,16254761.443792000000000000,5,0.039457,JUP
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,15658126.121936000000000000,6,0.038009,JUP
7s1da8DduuBFqGra5bJBjpnvL5E9mGzCuMk1Qkh4or2Z,15561238.906857000000000000,7,0.037774,JUP
6QqVvibpcQpju2QCqR7pdD4dzFKdAEDrCFAFCscFmCy6,10906599.084754000000000000,8,0.026475,JUP
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,9656311.171629000000000000,9,0.023440,JUP
2h56LbCJDC9PAjYJWSVmXP4VBhrwzaD9nMUqiz9TTgBD,8994749.532000000000000000,10,0.021834,JUP
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,8146104.561155000000000000,11,0.019774,JUP
7TWnq4WeYcwQWBCwKeEX2Q9xqVtthPGkB7adNvueuVuh,7963548.651092000000000000,12,0.019331,JUP
C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,7126676.761397000000000000,13,0.017299,JUP
8wM44Ryv9DFCSfkgUnPEPgnsc53arT4cnmXL6LnnC4UW,6047906.547632000000000000,14,0.014681,JUP
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,5879396.040406000000000000,15,0.014272,JUP
2MBwwAhL3c73Jy7HkWd9ofzh1bU39JBabrZCFQR2tUof,5229455.345895000000000000,16,0.012694,JUP
DMe3ddj7awSR3LFC64rjmCPexsrSv33QAxFoJux4vGH3,4329144.618027000000000000,17,0.010509,JUP
C8Gr6AUuq9hEdSYJzoEpNcdjpojPZwqG5MtQbeouNNwg,3865272.295100000000000000,18,0.009383,JUP
6gVV6PiRfAmCWBocCAASyvhFjihBakxjybFEjRbSoKvr,3523381.798720000000000000,19,0.008553,JUP
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,3340638.622064000000000000,20,0.008109,JUP
JCNCMFXo5M5qwUPg2Utu1u6YWp3MbygxqBsBeXXJfrw,2769907.521381000000000000,21,0.006724,JUP
2UL8hbNaoErAYNePqgQYPP9yDCDRZGWbzKW4krLqkhNL,2547256.873883000000000000,22,0.006183,JUP
4PbtGXZU1aDJMJt1mAAuweczR5uiuWvYiCt5QBSGrRf6,2426385.385788000000000000,23,0.005890,JUP
CSEncqtqbmNRjve42sNnbs5cCSmrjUNsAEwc17XY2RCs,1902445.346090000000000000,24,0.004618,JUP
9E4fv9BsJ2BwkNBXDeUgpJYtrYPheMQWYFcxGYxDFshX,1503903.604797000000000000,25,0.003651,JUP
MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,1375594.336097000000000000,26,0.003339,JUP
9RZd3P9RhJfmmLTRzmdwAzQkK28DJojvb9hExnU95pdR,1360457.664646000000000000,27,0.003302,JUP
8gMBNeKwXaoNi9bhbVUWFt4Uc5aobL9PeYMXfYDMePE2,1338882.500000000000000000,28,0.003250,JUP
49mvMufixEbUMzZEUVAnbQ8hLLuEWy789XfKUNTz7wCv,1279000.968707000000000000,29,0.003105,JUP
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,1243707.697398000000000000,30,0.003019,JUP
C1MgLojNLWBKADvu9BHdtgzz1oZX4dZ5zGdGcgvvW8Wz,1234329.760014000000000000,31,0.002996,JUP
AUgbdzNob9S8MiVHm4Qruqz3VsZGoqtMZnSzv45juDbL,1195717.737006000000000000,32,0.002903,JUP
9D8xSHWqF9NJWqCtn3rNxYEox63aCbWxYzTMfMur7Cc9,1190192.394929000000000000,33,0.002889,JUP
8QCVZ7KL65pBhUxbvfwbyyg4ronxNAEXbDrGLYLrRNn5,967367.821002000000000000,34,0.002348,JUP
44P5Ct5JkPz76Rs2K6juC65zXMpFRDrHatxcASJ4Dyra,956018.207983000000000000,35,0.002321,JUP
4QXXp184iMKjL1ZTLrGtjMFvR2n2YhpUS1WypmzGaYB3,904398.620809000000000000,36,0.002195,JUP
7ANWqbfHRqRr4Y7KgZguXJXoPk3HFoWLqq6ET8e9HRmb,813303.643325000000000000,37,0.001974,JUP
74Vkii2VPdDtLqBHKWcTJbdjyXDz7a72PRfCyTuHmEsV,786471.606415000000000000,38,0.001909,JUP
J4tZeuRwKpVU2zcYNUpEY2ChAmAgSro7EAAkiSV24rqy,762186.386172000000000000,39,0.001850,JUP
RBHdGVfDfMjfU6iUfCb1LczMJcQLx7hGnxbzRsoDNvx,745880.603130000000000000,40,0.001811,JUP
CodB76BrcssjjUCztdpdZ8Cyu6suH6v5G3vA2nZRG4Uv,721243.028546000000000000,41,0.001751,JUP
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,708521.463063000000000000,42,0.001720,JUP
2QrWsSWrGvoAqkDC5XSGqjS752RWLaopqAaGrbugSxBL,690589.228087000000000000,43,0.001676,JUP
85zMGyMSuxKkApwLRWCRYk5PkQK2hCwvFfLyAsAgxv1s,629993.416721000000000000,44,0.001529,JUP
2YxQCXt9spMwoQZiwFLwdjHtscVvXi4nmxCkQCD6Rvgg,557867.025596000000000000,45,0.001354,JUP
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,538132.615174000000000000,46,0.001306,JUP
Am8MAEorCMAKxphqjAz3Ff59NEwPm4W2eS3DQLi2B4hg,518304.710968000000000000,47,0.001258,JUP
HQwgrtSKrPqKbqooAYb9iFwxSoXbLABfDwUq2dcc6Uay,450539.055346000000000000,48,0.001094,JUP
BMnT51N4iSNhWU5PyFFgWwFvN1jgaiiDr9ZHgnkm3iLJ,438123.024034000000000000,49,0.001064,JUP
4GQeEya6ZTwvXre4Br6ZfDyfe2WQMkcDz2QbkJZazVqS,422056.854254000000000000,50,0.001025,JUP
EhDyxGpEz9hryw6MwiBB7898WEzcoGTCAjVQMHbo6Q1M,417681.232112000000000000,51,0.001014,JUP
6cDtJkcJKFEsGDhptmgvy3XtbwyRqnW3GoGcmnwVzJ7U,397952.666903000000000000,52,0.000966,JUP
HdUWtRL9YvUs4UtmjeSNufNGUc3Vr22ys4uBENm5ZxbY,382177.819284000000000000,53,0.000928,JUP
BLaQuRW6JqoTRrHZtcummaBusDCLoVfTLaHoAAtBxP2Y,377827.674726000000000000,54,0.000917,JUP
BXN4ryBpUZaw2s92k2E7tYc4pgHBreMyYZ578nbnHLTx,370939.319698000000000000,55,0.000900,JUP
4Ui9QdDNuUaAGqCPcDSp191QrixLzQiLxJ1Gnqvz3szP,328712.285687000000000000,56,0.000798,JUP
4UcZrPsyYVaY4Rt4ebCPwEyxn1VAhw5nXhF3e3PGCB4v,324397.440105000000000000,57,0.000787,JUP
D5jx4wmxuPz18hqmgpCMLGVq3uSksCafCp5xjVe1nw8p,320153.358748000000000000,58,0.000777,JUP
81xGAvJ27ZeRThU2JEfKAUeT4Fx6qCCd8WHZpujZbiiG,308137.136017000000000000,59,0.000748,JUP
3kVEnHFmvcuSm6K8U4MyvhNGAt23xrHsUU38JPnCp6ic,285350.008349000000000000,60,0.000693,JUP
GuScxhsziiRE2QK1QjZdXSfscQarFTMdFmdiypd8AZqf,277711.435100000000000000,61,0.000674,JUP
E8Q78o9wEcA2iz3pedKFnU5q7QQ5bRsTcJ8mJX5dohqK,255214.669932000000000000,62,0.000620,JUP
Eio6hAieGTAmKgfvbEfbnXke6o5kfEd74tqHm2Z9SFjf,249341.480946000000000000,63,0.000605,JUP
